timestamp,current_cpu,avg_cpu,trend,action,reason,desired_count_before,desired_count_after
2026-07-29T14:03:58.700792+00:00,53.87,61.13,FALLING,NO_CHANGE,Ortalama CPU (61.1) normal aralikta,2,2
2026-07-29T14:04:30.539967+00:00,47.28,54.78,FALLING,NO_CHANGE,Ortalama CPU (54.8) normal aralikta,2,2
2026-07-29T14:05:03.035643+00:00,37.66,46.27,FALLING,NO_CHANGE,Ortalama CPU (46.3) normal aralikta,2,2
2026-07-29T14:05:36.745534+00:00,37.66,40.87,FALLING,NO_CHANGE,Ortalama CPU (40.9) normal aralikta,2,2
2026-07-30T11:53:00.517011+00:00,45.11,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-30T11:53:32.205391+00:00,47.66,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-30T11:54:03.880076+00:00,63.32,52.03,INSUFFICIENT_DATA,NO_CHANGE,Ortalama CPU (52.0) normal aralikta,1,1
2026-07-30T11:54:35.513049+00:00,63.32,58.1,RISING,NO_CHANGE,Ortalama CPU (58.1) normal aralikta,1,1
2026-07-30T11:55:07.191036+00:00,75.75,67.47,RISING,NO_CHANGE,Ortalama CPU (67.5) normal aralikta,2,2
2026-07-30T11:55:39.414913+00:00,75.75,71.61,RISING,SCALE_UP,Ortalama CPU (71.6) esik degerini (70) asti,2,3
2026-07-30T11:56:11.051887+00:00,88.19,79.9,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",3,3
2026-07-30T11:56:42.773976+00:00,88.19,84.05,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",3,3
2026-07-30T11:57:14.514583+00:00,81.0,85.8,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",4,4
2026-07-30T11:57:45.993344+00:00,65.56,78.25,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 53sn",4,4
2026-07-30T12:02:52.036578+00:00,4.08,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),4,4
2026-07-30T12:03:23.450996+00:00,0.63,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),3,3
